Reference, Quantity, Value, Footprint, Datasheet, Alt Vendor, Alt Vendor P/N, MPN, Vendor, Vendor P/N
D1 ,1,"LED","","http://www.cree.com/led-components/media/documents/C503B-BAS-BAN-BCS-BCN-GAS-GAN-GCS-GCN-1094.pdf","~","~","C503B-GCS-CY0C0791","DigiKey","C503B-GCS-CY0C0791-ND"
J2 ,1,"B2B-XH-A(LF)(SN)","","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf","~","~","B2B-XH-A(LF)(SN)","DigiKey","455-2247-ND"
J3 ,1,"XHP-2","","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf","~","~","XHP-2","DigiKey","455-2266-ND"
J4 J8 ,2,"XHP-3","","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf","~","~","XHP-3","DigiKey","455-2219-ND"
J1 J13 J14 J5 J6 ,5,"PG7","","http://a.co/d/5Wgcdna","~","~","a16101300ux0476","Amazon","B01MSQI150"
J7 ,1,"B3B-XH-A(LF)(SN)","","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf","~","~","B3B-XH-A(LF)(SN)","DigiKey","455-2248-ND"
K1 ,1,"G2R-1A-T DC48","","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g2r.pdf","~","~","G2R-1A-T DC48","DigiKey","Z6234-ND"
PS1 ,1,"RSD-30H-24","","https://www.meanwell.com/Upload/PDF/RSD-30/RSD-30-SPEC.PDF","~","~","RSD-30H-24","DigiKey","1866-5459-ND"
PS2 ,1,"RSDW20H-05","","http://www.meanwell.com/webapp/product/search.aspx?prod=RSDW20#1","~","~","RSDW20H-05","Mouser","709-RSDW20H-05"
Q1 ,1,"Q_NMOS_GDS","","https://www.fairchildsemi.com/datasheets/FQ/FQP30N06L.pdf","~","~","FQP30N06L","DigiKey","FQP30N06L-ND"
R1 ,1,"330","","","~","~","~","House","~"
R2 ,1,"100K","","~","~","~","~","House","~"
R3 ,1,"120","","","~","~","~","House","~"
R4 ,1,"220","","","~","~","~","House","~"
R5 ,1,"2.2K","","","~","~","~","House","~"
SP1 ,1,"LED_HOLDER_5MM","","https://media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2178_Web.pdf","~","~","2178","DigiKey","1528-1399-ND"
SW1 ,1,"Rotary_Selector_Switch",""," http://a.co/d/7F7LLH1","~","~","LW28-20/0123.3","Amazon","B014KPR3D2"
SW5 ,1,"GRB136A05BB2","","http://switches-connectors-custom.cwind.com/Asset/GRB136A05BB2.pdf","~","~","GRB136A05BB2","DigiKey","SW652-ND"
SW6 ,1,"SW_Push","","https://www.e-switch.com/system/asset/product_line/data_sheet/1/PV1.pdf","~","~","PV1F240SS","DigiKey","PV1F240SS-ND"
U1 ,1,"PARTICLE_PHOTON","","https://media.digikey.com/pdf/Data%20Sheets/Particle%20PDFs/Photon_v015_Web.pdf","~","~","PHOTONH","DigiKey","1878-1000-ND"
U2 ,1,"Adafruit_1096","","https://www.adafruit.com/product/1096","Adafruit","1096","1096","DigiKey","1528-1935-ND"
U3 U4 ,2,"BOB-12009","","https://www.sparkfun.com/products/12009","~","~","BOB-12009","DigiKey","1568-1209-ND"
U5 ,1,"GP2Y0A02YK0F","","","~","~","GP2Y0A02YK0F","SparkFun","SEN-08958"
U6 ,1,"HSCDLNN001PDAA3","","https://sensing.honeywell.com/index.php?ci_id=151133","~","~","HSCDLNN001PDAA3","DigiKey","480-5420-ND"